a;23237
aback;2
abandon;17
abandoned;25
abandonment;10
abasement;2
abbe;3
abbey;7
abbot;2
abbreviation;1
abdomen;6
abdominal;4
abduction;1
abed;1
aberrant;5
aberration;3
abeyance;3
abhorrent;1
abide;7
abigail;2
ability;74
abject;3
abjection;1
ablation;2
ablaze;3
able;216
ably;2
abnormal;3
aboard;25
abode;4
abolish;8
abolition;10
abolitionist;1
aboriginal;1
aborigines;8
abortion;6
abortive;3
abound;1
about;1815
above;296
abraham;6
abrasion;1
abreast;5
abridgment;1
abroad;51
abrupt;18
abruptly;18
abscissa;1
absence;53
absent;28
absentee;1
absenteeism;1
absolute;30
absolutely;27
absoluteness;2
absolution;2
absorb;13
absorbency;1
absorption;12
absorptive;1
abstain;1
abstention;5
abstinence;1
abstract;34
abstracted;3
abstraction;16
abstractive;1
abstractly;1
absurd;17
absurdity;8
abundance;13
abundant;9
abuse;18
abusive;1
abysmal;2
abyss;4
acacia;3
academic;56
academy;24
accede;1
accelerate;5
acceleration;17
accelerator;5
accent;9
accentual;1
accentuate;1
accept;72
acceptability;2
acceptable;21
acceptance;49
access;24
accessibility;2
accessible;5
accessory;1
accident;33
accidental;9
acclaim;4
acclamation;1
accolade;2
accommodate;14
accommodation;1
accompaniment;7
accompanist;1
accompany;8
accomplice;2
accomplish;24
accomplished;44
accomplishment;7
accord;9
accordance;20
according;139
accordingly;31
accordion;1
account;117
accountability;4
accountable;1
accountant;2
accretion;3
accumulate;3
accumulation;11
accuracy;36
accurate;35
accusation;3
accuse;10
accustomed;15
ace;15
acetate;7
acetone;4
ache;4
achieve;51
achievement;65
acid;13
acidity;1
acidulous;1
acknowledge;12
acknowledgement;2
acknowledgment;2
acolyte;1
acoustic;1
acoustics;1
acquaint;3
acquaintance;9
acquainted;12
acquiesce;3
acquiescence;5
acquire;27
acquisition;17
acquisitiveness;1
acquittal;2
acre;9
acreage;11
acrid;1
acrobatic;2
acropolis;6
across;282
act;283
acting;61
action;291
activate;2
active;88
activity;116
actor;24
actress;6
actual;100
actuality;8
actually;166
actuarial;1
actuate;1
acumen;1
acute;13
ad;11
adage;3
adagio;3
adam;44
adamant;5
adapt;5
adaptable;2
adaptation;10
adapter;1
add;88
addict;1
addicted;3
addiction;3
addition;142
additional;120
additive;3
address;77
addressed;19
adduce;1
adept;4
adequacy;3
adequate;66
adhere;4
adherence;9
adherent;2
adhesion;2
adhesive;6
adieu;1
adipic;1
adjacent;12
adjectival;3
adjective;2
adjournment;4
adjudicate;1
adjudication;4
adjunct;6
adjust;16
adjustment;35
administer;3
administration;161
administrative;53
administrator;15
admirable;10
admiralty;1
admiration;10
admire;10
admirer;3
admissible;9
admission;33
admit;37
admittance;1
admonition;1
ado;4
adobe;2
adolescence;18
adolescent;12
adonis;1
adopt;13
adoption;11
adorable;3
adore;2
adorn;1
adrenal;2
adrian;4
adriatic;3
adrift;1
adroit;1
ads;10
adulation;1
adult;25
adulterous;1
adultery;3
advance;60
advanced;52
advancement;10
advantage;73
advantageous;5
advent;5
adventitious;1
adventure;14
adventurous;5
adverb;1
adverbial;2
adversary;5
adverse;11
adversity;2
advertise;3
advertisement;2
advertiser;1
advice;51
advisability;4
advisable;1
advise;10
advised;33
advisement;2
adviser;6
advisor;1
advisory;24
advocacy;24
advocacy;3
advocate;15
aegean;15
aegis;1
aeon;1
aerate;1
aeration;7
aerator;11
aerial;8
aerodynamic;1
aeronautical;1
aeronautics;2
aesthetic;26
afar;2
affable;1
affair;33
affect;35
affectation;1
affected;36
affecting;5
affection;18
affectionate;6
affectionately;3
afferent;1
affied;1
affiliation;4
affinity;5
affirm;12
affirmation;4
affirmative;4
affix;1
affliction;1
affluence;4
affluent;2
afford;40
affront;2
afield;1
afire;1
aflame;3
afloat;7
afoot;1
